# Title: sfcvm Horizontal Slice at 1000m
# CVM(abbr): sfcvm
# Data_type: vs
# Depth(m): 1000 
# Spacing(degree): 0.004
# Lon_pts: 83 
# Lat_pts: 65 
# Total_pts: 5395
# Min_v: 1278.0560302734375
# Max_v: 2702.006103515625
# Mean_v: 2625.638427734375
# Lat1: 38.9688
# Lon1: -122.8443
# Lat2: 39.222
# Lon2: -122.5182
# lon,lat,vs
-122.8443,38.9688,2695.862060546875
-122.8443,38.9728,2695.7939453125
-122.8443,38.9768,2695.77587890625
-122.8443,38.9808,2695.7529296875
-122.8443,38.9848,2695.73095703125
-122.8443,38.9888,2695.70703125
-122.8443,38.9928,2695.69091796875
-122.8443,38.9968,2695.68603515625
-122.8443,39.0008,2695.68701171875
-122.8443,39.0048,2695.68505859375
-122.8443,39.0088,2695.677978515625
-122.8443,39.0128,2695.669921875
-122.8443,39.0168,2695.662109375
-122.8443,39.0208,2695.653076171875
-122.8443,39.0248,2695.64599609375
-122.8443,39.0288,2695.639892578125
-122.8443,39.0328,2695.632080078125
-122.8443,39.0368,2695.623046875
-122.8443,39.0408,2695.617919921875
-122.8443,39.0448,2695.614990234375
-122.8443,39.0488,2695.612060546875
-122.8443,39.0528,2695.611083984375
-122.8443,39.0568,2695.610107421875
-122.8443,39.0608,2695.60888671875
-122.8443,39.0648,2695.60888671875
-122.8443,39.0688,2695.610107421875
-122.8443,39.0728,2695.612060546875
-122.8443,39.0768,2695.611083984375
-122.8443,39.0808,2695.610107421875
-122.8443,39.0848,2695.60595703125
-122.8443,39.0888,2695.60400390625
-122.8443,39.0928,2695.594970703125
-122.8443,39.0968,2695.580078125
-122.8443,39.1008,2695.575927734375
-122.8443,39.1048,2695.60302734375
-122.8443,39.1088,2695.662109375
-122.8443,39.1128,2695.751953125
-122.8443,39.1168,2695.8701171875
-122.8443,39.1208,2696.093017578125
-122.8443,39.1248,2696.424072265625
-122.8443,39.1288,2696.760986328125
-122.8443,39.1328,2697.041015625
-122.8443,39.1368,2697.26708984375
-122.8443,39.1408,2697.4189453125
-122.8443,39.1448,2697.510009765625
-122.8443,39.1488,2697.569091796875
-122.8443,39.1528,2697.60791015625
-122.8443,39.1568,2697.636962890625
-122.8443,39.1608,2697.660888671875
-122.8443,39.1648,2697.718017578125
-122.8443,39.1688,2697.824951171875
-122.8443,39.1728,2697.968017578125
-122.8443,39.1768,2698.051025390625
-122.8443,39.1808,2698.14794921875
-122.8443,39.1848,2698.29296875
-122.8443,39.1888,2698.512939453125
-122.8443,39.1928,2698.72900390625
-122.8443,39.1968,2698.9560546875
-122.8443,39.2008,2699.199951171875
-122.8443,39.2048,2699.52099609375
-122.8443,39.2088,2699.8349609375
-122.8443,39.2128,2700.0859375
-122.8443,39.2168,2700.285888671875
-122.8443,39.2208,2700.489013671875
-122.8443,39.2248,2700.699951171875
-122.8403,38.9688,2695.801025390625
-122.8403,38.9728,2695.84912109375
-122.8403,38.9768,2695.7509765625
-122.8403,38.9808,2695.73095703125
-122.8403,38.9848,2695.708984375
-122.8403,38.9888,2695.693115234375
-122.8403,38.9928,2695.677001953125
-122.8403,38.9968,2695.673095703125
-122.8403,39.0008,2695.673095703125
-122.8403,39.0048,2695.672119140625
-122.8403,39.0088,2695.6669921875
-122.8403,39.0128,2695.6630859375
